Index,Resolution,Oranges,Preprocess,Inference,Postprocess
1,384x640,9,11.2,326.6,10.4
2,384x640,9,2.2,364.9,2.0
3,384x640,9,3.5,349.0,1.2
4,384x640,9,2.3,324.2,1.5
5,384x640,9,2.9,565.4,2.2
6,384x640,9,23.4,693.7,4.2
7,384x640,9,4.7,527.9,1.8
8,384x640,9,3.7,581.0,1.9
9,384x640,9,3.2,567.5,3.3
10,384x640,9,3.9,536.6,1.5
11,384x640,9,3.7,638.3,2.1
12,384x640,10,4.3,539.8,1.8
13,384x640,10,4.0,558.1,2.4
14,384x640,10,3.5,583.2,3.9
15,384x640,11,3.3,584.0,2.0
16,384x640,12,3.4,564.0,2.7
17,384x640,12,6.8,671.8,4.5
18,384x640,12,7.8,579.1,2.5
19,384x640,12,3.2,766.7,2.4
20,384x640,12,5.5,899.3,3.3
21,384x640,12,4.2,1000.0,2.3
22,384x640,12,5.0,924.8,22.9
23,384x640,12,4.8,1109.2,4.0
24,384x640,12,3.7,924.6,5.6
25,384x640,12,166.7,1074.5,6.1
26,384x640,12,6.5,534.4,1.7
27,384x640,12,3.5,591.9,4.2
28,384x640,12,3.3,610.8,3.0
29,384x640,12,3.7,784.7,2.4
30,384x640,12,3.7,706.6,2.8
31,384x640,12,3.4,692.8,1.8
32,384x640,12,3.3,750.4,2.2
33,384x640,12,3.4,680.8,2.4
34,384x640,12,6.0,610.1,2.2
35,384x640,12,2.9,617.7,1.6
36,384x640,12,3.2,518.1,2.0
37,384x640,12,3.0,571.9,2.2
38,384x640,12,10.4,1002.4,1.4
39,384x640,12,4.6,1140.0,2.7
40,384x640,12,18.6,1269.8,11.1
41,384x640,12,3.3,700.8,2.9
42,384x640,12,4.6,603.0,1.9
43,384x640,12,3.3,651.7,2.0
44,384x640,12,7.0,584.4,2.0
45,384x640,12,3.2,641.4,2.1
46,384x640,12,4.5,621.2,1.8
47,384x640,12,4.1,595.9,2.3
48,384x640,12,7.1,587.2,1.9
49,384x640,12,3.0,727.9,3.4
50,384x640,12,3.7,754.8,7.0
51,384x640,12,8.1,678.4,2.1
52,384x640,12,3.1,581.7,1.5
53,384x640,12,2.9,524.6,1.9
54,384x640,13,15.2,611.4,10.5
55,384x640,13,4.0,596.9,1.7
56,384x640,13,3.1,659.4,1.8
57,384x640,13,3.7,642.9,3.0
58,384x640,13,3.8,599.5,1.9
59,384x640,13,3.1,555.9,1.9
60,384x640,13,3.4,587.9,2.1
61,384x640,13,3.3,580.2,6.0
62,384x640,13,4.0,663.2,2.0
63,384x640,13,3.2,605.9,2.3
64,384x640,13,3.8,566.4,2.0
65,384x640,13,3.6,549.1,1.8
66,384x640,13,3.5,564.4,2.1
67,384x640,13,6.3,650.1,2.8
68,384x640,13,5.8,640.1,3.9
69,384x640,13,4.9,712.0,3.3
70,384x640,13,3.0,715.9,4.0
71,384x640,13,4.8,711.8,2.7
72,384x640,13,4.0,735.8,4.9
73,384x640,13,5.8,668.4,3.0
74,384x640,13,5.6,685.8,4.0
75,384x640,13,3.6,642.0,4.9
76,384x640,13,4.2,681.4,2.9
77,384x640,13,3.1,639.3,1.4
78,384x640,13,3.5,718.3,5.5
79,384x640,13,5.0,658.6,2.6
80,384x640,13,3.6,655.2,15.3
81,384x640,13,3.5,635.9,2.7
82,384x640,13,3.2,535.1,1.6
83,384x640,13,3.9,645.1,2.5
84,384x640,13,3.7,620.0,1.7
85,384x640,13,3.2,649.1,14.9
86,384x640,13,2.8,655.3,3.6
87,384x640,13,3.3,552.7,2.8
88,384x640,13,3.6,783.5,2.8
89,384x640,13,2.6,535.8,1.8
90,384x640,13,3.2,579.4,2.0
91,384x640,13,9.9,707.2,4.2
92,384x640,13,2.6,496.5,2.2
93,384x640,13,3.3,558.3,1.7
94,384x640,13,2.8,634.2,2.3
95,384x640,13,4.8,573.8,2.6
96,384x640,13,6.9,598.7,1.8
97,384x640,13,4.8,594.5,1.6
98,384x640,13,4.6,748.1,4.0
99,384x640,13,4.6,653.1,2.0
100,384x640,14,3.4,714.0,2.5
1,384x640,9,11.2,326.6,10.4
2,384x640,9,2.2,364.9,2.0
3,384x640,9,3.5,349.0,1.2
4,384x640,9,2.3,324.2,1.5
5,384x640,9,2.9,565.4,2.2
6,384x640,9,23.4,693.7,4.2
7,384x640,9,4.7,527.9,1.8
8,384x640,9,3.7,581.0,1.9
9,384x640,9,3.2,567.5,3.3
10,384x640,9,3.9,536.6,1.5
11,384x640,9,3.7,638.3,2.1
12,384x640,10,4.3,539.8,1.8
13,384x640,10,4.0,558.1,2.4
14,384x640,10,3.5,583.2,3.9
15,384x640,11,3.3,584.0,2.0
16,384x640,12,3.4,564.0,2.7
17,384x640,12,6.8,671.8,4.5
18,384x640,12,7.8,579.1,2.5
19,384x640,12,3.2,766.7,2.4
20,384x640,12,5.5,899.3,3.3
21,384x640,12,4.2,1000.0,2.3
22,384x640,12,5.0,924.8,22.9
23,384x640,12,4.8,1109.2,4.0
24,384x640,12,3.7,924.6,5.6
25,384x640,12,166.7,1074.5,6.1
26,384x640,12,6.5,534.4,1.7
27,384x640,12,3.5,591.9,4.2
28,384x640,12,3.3,610.8,3.0
29,384x640,12,3.7,784.7,2.4
30,384x640,12,3.7,706.6,2.8
31,384x640,12,3.4,692.8,1.8
32,384x640,12,3.3,750.4,2.2
33,384x640,12,3.4,680.8,2.4
34,384x640,12,6.0,610.1,2.2
35,384x640,12,2.9,617.7,1.6
36,384x640,12,3.2,518.1,2.0
37,384x640,12,3.0,571.9,2.2
38,384x640,12,10.4,1002.4,1.4
39,384x640,12,4.6,1140.0,2.7
40,384x640,12,18.6,1269.8,11.1
41,384x640,12,3.3,700.8,2.9
42,384x640,12,4.6,603.0,1.9
43,384x640,12,3.3,651.7,2.0
44,384x640,12,7.0,584.4,2.0
45,384x640,12,3.2,641.4,2.1
46,384x640,12,4.5,621.2,1.8
47,384x640,12,4.1,595.9,2.3
48,384x640,12,7.1,587.2,1.9
49,384x640,12,3.0,727.9,3.4
50,384x640,12,3.7,754.8,7.0
51,384x640,12,8.1,678.4,2.1
52,384x640,12,3.1,581.7,1.5
