Index,Shape,Oranges,Total,Preprocess,Inference,Postprocess
1,384x640,9,44.9,51.7,27.8,86.6
2,384x640,9,3.0,52.6,30.0,85.6
3,384x640,9,3.1,47.0,96.2,146.3
4,384x640,9,2.7,41.9,73.1,117.7
5,384x640,9,2.9,48.6,76.4,127.9
6,384x640,9,2.8,36.2,83.8,122.8
7,384x640,9,3.0,47.2,9.4,59.6
8,384x640,9,6.5,46.3,14.8,67.6
9,384x640,9,3.1,47.6,88.6,139.3
10,384x640,9,2.8,43.0,77.6,123.4
11,384x640,9,2.7,43.4,76.5,122.6
12,384x640,10,2.6,47.6,76.5,126.7
13,384x640,10,2.7,41.7,78.3,122.7
14,384x640,10,3.2,45.0,28.4,76.6
15,384x640,11,3.1,45.6,9.1,57.8
16,384x640,12,5.3,47.2,9.4,61.9
17,384x640,12,2.9,49.2,77.6,129.7
18,384x640,12,2.6,40.8,8.0,51.4
19,384x640,12,3.5,45.9,73.3,122.7
20,384x640,12,2.5,44.3,74.6,121.4
21,384x640,12,2.6,47.3,71.9,121.8
22,384x640,12,2.6,39.7,94.4,136.7
23,384x640,12,2.6,41.9,68.7,113.2
24,384x640,12,3.1,46.8,30.8,80.7
25,384x640,12,2.6,48.0,70.2,120.8
26,384x640,12,2.7,45.7,71.9,120.3
27,384x640,12,3.5,48.8,78.5,130.8
28,384x640,12,2.6,35.1,83.3,121.0
29,384x640,12,2.6,44.9,96.0,143.5
30,384x640,12,2.8,37.1,9.3,49.2
31,384x640,12,2.8,47.6,9.1,59.5
32,384x640,12,3.2,50.6,94.9,148.7
33,384x640,12,3.2,50.3,98.6,152.1
34,384x640,12,3.2,41.3,15.5,60.0
35,384x640,12,2.6,42.8,8.4,53.8
36,384x640,12,3.5,46.4,99.3,149.2
37,384x640,12,2.9,42.2,99.5,144.6
38,384x640,12,2.7,43.4,16.4,62.5
39,384x640,12,4.6,46.0,7.8,58.4
40,384x640,12,3.9,43.2,18.7,65.8
41,384x640,12,3.1,41.9,17.4,62.4
42,384x640,12,3.8,46.4,115.3,165.5
43,384x640,12,2.7,46.1,21.2,70.0
44,384x640,12,5.2,56.2,13.0,74.4
45,384x640,12,5.3,57.9,15.2,78.4
46,384x640,12,4.0,53.0,167.1,224.1
47,384x640,12,2.9,42.5,19.6,64.9
48,384x640,12,4.3,52.9,13.9,71.1
49,384x640,12,6.0,57.7,178.1,241.8
50,384x640,12,3.1,51.2,55.3,109.6
51,384x640,12,3.6,44.5,178.7,226.8
52,384x640,12,4.3,49.6,19.3,73.2
53,384x640,12,5.0,55.8,164.7,225.5
54,384x640,13,4.0,47.0,10.4,61.4
55,384x640,13,5.7,58.3,12.7,76.7
56,384x640,13,3.2,51.0,11.9,66.1
57,384x640,13,4.8,59.2,17.2,81.2
58,384x640,13,4.1,44.3,10.6,59.0
59,384x640,13,4.5,55.9,172.6,233.0
60,384x640,13,2.9,48.0,55.2,106.1
61,384x640,13,6.1,52.4,26.5,85.0
62,384x640,13,26.8,195.8,75.1,297.7
63,384x640,13,4.0,49.2,27.7,80.9
64,384x640,13,4.0,51.1,25.5,80.6
65,384x640,13,4.8,57.3,12.6,74.7
66,384x640,13,3.6,46.3,16.0,65.9
67,384x640,13,4.9,52.1,28.9,85.9
68,384x640,13,4.8,50.6,189.0,244.4
69,384x640,13,3.1,50.3,13.0,66.4
70,384x640,13,4.0,54.4,219.8,278.2
71,384x640,13,3.5,47.6,66.6,117.7
72,384x640,13,4.4,56.1,11.1,71.6
73,384x640,13,4.7,59.3,79.6,143.6
74,384x640,13,3.0,52.3,175.0,230.3
75,384x640,13,3.1,46.3,12.8,62.2
76,384x640,13,4.9,58.5,33.0,96.4
77,384x640,13,3.3,49.1,11.9,64.3
78,384x640,13,4.1,59.7,10.4,74.2
79,384x640,13,4.6,57.6,170.7,232.9
80,384x640,13,3.3,49.5,142.5,195.3
81,384x640,13,3.1,45.4,130.8,179.3
82,384x640,13,2.9,39.3,11.2,53.4
83,384x640,13,4.1,105.9,197.1,307.1
84,384x640,13,2.9,44.2,152.2,199.3
85,384x640,13,3.1,46.1,117.3,166.5
86,384x640,13,2.6,43.9,124.7,171.2
87,384x640,13,3.4,49.8,169.7,222.9
88,384x640,13,2.9,48.9,12.5,64.3
89,384x640,13,5.0,49.5,218.9,273.4
90,384x640,13,4.6,48.4,130.4,183.4
91,384x640,13,3.6,50.7,60.9,115.2
92,384x640,13,3.7,52.1,11.0,66.8
93,384x640,13,6.0,56.6,217.4,280.0
94,384x640,13,3.2,43.7,13.5,60.4
95,384x640,13,3.8,55.0,12.8,71.6
96,384x640,13,5.4,60.7,13.6,79.7
97,384x640,13,6.3,54.8,15.4,76.5
98,384x640,13,4.2,48.4,122.4,175.0
99,384x640,13,3.1,46.8,10.4,60.3
100,384x640,14,5.2,55.6,232.3,293.1
1,384x640,9,25.6,42.3,234.6,72.5
2,384x640,9,3.5,56.4,29.2,89.1
3,384x640,9,3.6,33.2,95.2,132.0
4,384x640,9,2.8,39.9,73.9,116.6
5,384x640,9,2.8,38.6,75.2,116.6
6,384x640,9,2.6,45.2,77.6,125.4
7,384x640,9,2.7,41.8,8.2,52.7
8,384x640,9,3.4,42.8,11.9,58.1
9,384x640,9,3.6,41.4,75.8,120.8
10,384x640,9,2.7,44.0,76.0,122.7
11,384x640,9,2.7,43.1,80.2,126.0
12,384x640,10,5.0,47.3,76.0,128.3
13,384x640,10,2.6,44.3,75.9,122.8
14,384x640,10,2.9,51.8,36.9,91.6
15,384x640,11,2.7,48.0,11.6,62.3
16,384x640,12,3.6,49.3,11.2,64.1
17,384x640,12,4.0,55.8,132.9,192.7
18,384x640,12,2.8,37.4,11.2,51.4
19,384x640,12,3.9,55.0,129.0,187.9
20,384x640,12,3.8,55.5,125.9,185.2
21,384x640,12,3.2,46.5,111.2,160.9
22,384x640,12,3.3,48.1,152.6,204.0
23,384x640,12,4.1,52.2,121.3,177.6
24,384x640,12,3.4,45.4,47.7,96.5
25,384x640,12,6.0,56.4,154.0,216.4
26,384x640,12,3.0,49.2,83.0,135.2
27,384x640,12,4.6,59.7,140.3,204.6
28,384x640,12,2.8,52.5,122.8,178.1
29,384x640,12,3.1,54.1,134.4,191.6
30,384x640,12,3.0,53.3,8.7,65.0
31,384x640,12,7.5,64.2,19.6,91.3
32,384x640,12,4.6,54.2,145.2,204.0
33,384x640,12,4.0,50.9,169.8,224.7
34,384x640,12,3.6,50.3,18.2,72.1
35,384x640,12,4.8,58.0,12.0,74.8
36,384x640,12,5.7,58.9,211.1,275.7
37,384x640,12,2.9,45.4,116.3,164.6
38,384x640,12,2.9,45.4,19.1,67.4
39,384x640,12,4.1,56.0,13.8,73.9
40,384x640,12,6.1,58.2,22.2,86.5
41,384x640,12,3.4,48.5,18.9,70.8
42,384x640,12,5.4,50.7,174.2,230.3
43,384x640,12,2.8,47.0,20.3,70.1
44,384x640,12,3.2,44.9,16.0,64.1
45,384x640,12,3.2,36.4,11.5,51.1
46,384x640,12,3.4,56.0,263.0,322.4
47,384x640,12,2.7,42.7,19.3,64.7
48,384x640,12,4.5,52.0,11.3,67.8
