Index,Resolution,Oranges,Latency,Preprocess,Inference,Postprocess
1,384x640,13,589.0,5.2,589.0,1.8
2,384x640,13,597.6,5.2,597.6,1.9
3,384x640,13,491.0,5.7,491.0,1.6
4,384x640,13,476.4,8.0,476.4,2.9
5,384x640,13,652.7,3.8,652.7,1.4
6,384x640,13,539.8,7.2,539.8,2.1
7,384x640,13,593.5,26.8,593.5,2.2
8,384x640,13,683.8,14.8,683.8,1.9
9,384x640,13,587.4,7.2,587.4,2.3
10,384x640,13,605.5,4.4,605.5,2.3
11,384x640,13,606.9,4.9,606.9,1.9
12,384x640,13,656.5,5.6,656.5,2.8
13,384x640,13,532.9,7.4,532.9,2.1
14,384x640,13,480.7,9.4,480.7,2.3
15,384x640,13,590.7,17.1,590.7,1.8
16,384x640,13,553.2,4.5,553.2,2.9
17,384x640,13,572.8,6.0,572.8,2.4
18,384x640,13,511.9,4.0,511.9,2.1
19,384x640,13,558.5,8.0,558.5,2.4
20,384x640,13,500.4,5.4,500.4,1.8
21,384x640,13,518.4,4.4,518.4,1.9
22,384x640,13,471.6,3.1,471.6,1.7
23,384x640,13,517.2,4.3,517.2,1.7
24,384x640,13,554.1,3.4,554.1,3.4
25,384x640,13,467.8,9.0,467.8,1.7
26,384x640,13,528.3,6.6,528.3,1.6
27,384x640,13,457.0,5.3,457.0,1.7
28,384x640,13,569.2,3.7,569.2,1.8
29,384x640,13,493.4,4.6,493.4,1.6
30,384x640,13,483.1,3.2,483.1,1.7
31,384x640,13,556.5,3.3,556.5,2.2
32,384x640,13,563.9,6.3,563.9,2.6
33,384x640,13,546.8,3.7,546.8,1.9
34,384x640,13,680.8,6.3,680.8,2.0
35,384x640,13,585.8,5.4,585.8,1.9
36,384x640,13,660.2,3.6,660.2,1.9
37,384x640,13,749.7,8.4,749.7,2.3
38,384x640,13,521.4,5.8,521.4,2.3
39,384x640,13,592.3,34.9,592.3,1.5
40,384x640,13,608.5,4.5,608.5,3.0
41,384x640,14,840.2,11.1,840.2,2.7
42,384x640,9,341.9,17.5,341.9,10.2
43,384x640,9,444.9,2.4,444.9,1.8
44,384x640,9,446.1,6.8,446.1,2.0
45,384x640,9,351.0,2.6,351.0,1.5
46,384x640,9,407.8,3.6,407.8,2.4
47,384x640,9,433.2,2.6,433.2,1.5
48,384x640,9,577.9,9.8,577.9,4.1
49,384x640,9,658.6,6.8,658.6,1.6
50,384x640,9,592.2,3.6,592.2,1.9
51,384x640,9,711.9,5.7,711.9,1.8
52,384x640,9,603.0,3.9,603.0,2.2
53,384x640,10,577.0,9.8,577.0,1.5
54,384x640,10,659.6,8.0,659.6,4.2
55,384x640,10,986.5,4.2,986.5,4.8
56,384x640,11,841.9,4.8,841.9,2.4
57,384x640,12,778.8,6.5,778.8,4.1
58,384x640,12,813.7,25.3,813.7,3.4
59,384x640,12,765.3,4.0,765.3,2.0
60,384x640,12,749.2,6.1,749.2,1.8
61,384x640,12,669.3,3.0,669.3,2.6
62,384x640,12,716.7,5.4,716.7,2.1
63,384x640,12,851.7,8.3,851.7,12.0
64,384x640,12,803.9,6.5,803.9,3.4
65,384x640,12,891.5,4.5,891.5,2.8
66,384x640,12,767.4,5.8,767.4,2.6
67,384x640,12,770.4,3.5,770.4,2.7
68,384x640,12,747.7,4.7,747.7,2.5
69,384x640,12,714.2,3.3,714.2,3.2
70,384x640,12,695.2,5.1,695.2,1.8
71,384x640,12,652.2,3.6,652.2,3.5
72,384x640,12,650.9,4.2,650.9,1.9
73,384x640,12,653.5,4.1,653.5,2.0
74,384x640,12,631.6,5.0,631.6,2.2
75,384x640,12,654.2,2.9,654.2,2.2
76,384x640,12,606.0,4.1,606.0,1.6
77,384x640,12,687.0,4.2,687.0,1.6
78,384x640,12,644.2,13.4,644.2,2.3
79,384x640,12,777.9,5.1,777.9,2.8
80,384x640,12,719.2,5.8,719.2,1.8
81,384x640,12,829.6,8.9,829.6,1.6
82,384x640,12,784.5,11.7,784.5,2.1
83,384x640,12,732.4,5.8,732.4,2.2
84,384x640,12,782.4,4.9,782.4,5.2
85,384x640,12,675.7,15.0,675.7,2.5
86,384x640,12,652.1,10.9,652.1,1.8
87,384x640,12,806.7,6.7,806.7,1.8
88,384x640,12,745.2,11.5,745.2,2.7
89,384x640,12,917.3,4.1,917.3,3.3
90,384x640,12,1137.8,4.0,1137.8,49.0
91,384x640,12,922.7,34.4,922.7,3.2
92,384x640,12,684.2,4.8,684.2,2.6
93,384x640,12,1876.4,3.4,1876.4,6.9
94,384x640,12,2031.9,102.4,2031.9,13.0
95,384x640,13,1303.3,21.0,1303.3,7.1
96,384x640,13,978.4,11.7,978.4,10.6
97,384x640,13,850.8,17.7,850.8,2.0
98,384x640,13,891.6,6.5,891.6,1.8
99,384x640,13,961.6,5.8,961.6,4.9
100,384x640,14,9.9,907.4,4.6
