Index,Shape,Oranges,Total,Preprocess,Inference,Postprocess
1,384x640,9,56.0,80.1,56.0,21.6
2,384x640,9,50.0,4.2,50.0,46.7
3,384x640,9,50.1,3.9,50.1,120.6
4,384x640,9,57.1,4.1,57.1,156.9
5,384x640,9,57.6,5.0,57.6,178.6
6,384x640,9,61.5,3.7,61.5,120.7
7,384x640,9,68.4,6.7,68.4,33.4
8,384x640,9,76.4,10.2,76.4,21.7
9,384x640,9,62.7,4.8,62.7,166.5
10,384x640,9,57.0,5.2,57.0,155.1
11,384x640,9,72.9,6.6,72.9,172.6
12,384x640,10,57.2,3.6,57.2,147.7
13,384x640,10,58.3,5.0,58.3,145.8
14,384x640,10,61.0,4.6,61.0,64.8
15,384x640,11,66.3,9.2,66.3,15.5
16,384x640,12,64.1,4.1,64.1,50.4
17,384x640,12,65.6,4.4,65.6,134.9
18,384x640,12,59.0,4.1,59.0,11.7
19,384x640,12,64.6,6.2,64.6,176.4
20,384x640,12,58.5,5.9,58.5,122.7
21,384x640,12,54.9,3.6,54.9,119.8
22,384x640,12,52.4,3.8,52.4,182.5
23,384x640,12,51.5,3.2,51.5,100.9
24,384x640,12,57.2,6.4,57.2,49.5
25,384x640,12,61.2,7.5,61.2,143.6
26,384x640,12,56.7,2.9,56.7,115.9
27,384x640,12,59.3,5.1,59.3,118.5
28,384x640,12,58.1,4.1,58.1,146.7
29,384x640,12,57.7,4.6,57.7,155.6
30,384x640,12,56.0,4.7,56.0,15.4
31,384x640,12,65.6,10.6,65.6,18.0
32,384x640,12,70.8,4.9,70.8,176.1
33,384x640,12,50.2,3.6,50.2,166.0
34,384x640,12,49.7,3.6,49.7,23.4
35,384x640,12,69.4,5.2,69.4,15.2
36,384x640,12,61.1,6.4,61.1,211.7
37,384x640,12,48.5,3.9,48.5,161.9
38,384x640,12,61.9,3.3,61.9,30.3
39,384x640,12,65.6,8.1,65.6,32.6
40,384x640,12,61.7,9.3,61.7,28.9
41,384x640,12,58.3,3.8,58.3,24.5
42,384x640,12,72.6,16.6,72.6,206.6
43,384x640,12,50.9,3.9,50.9,26.6
44,384x640,12,56.5,3.5,56.5,12.3
45,384x640,12,98.3,6.0,98.3,37.4
46,384x640,12,58.5,9.2,58.5,235.6
47,384x640,12,52.2,5.8,52.2,22.2
48,384x640,12,51.0,3.3,51.0,13.4
49,384x640,12,78.2,6.0,78.2,216.1
50,384x640,12,52.7,3.6,52.7,65.0
51,384x640,12,56.3,4.0,56.3,183.5
52,384x640,12,57.7,3.7,57.7,23.3
53,384x640,12,61.0,3.6,61.0,174.8
54,384x640,13,56.5,4.0,56.5,12.7
55,384x640,13,89.8,12.4,89.8,40.1
56,384x640,13,60.4,3.4,60.4,11.1
57,384x640,13,65.9,5.8,65.9,19.1
58,384x640,13,57.9,4.4,57.9,10.5
59,384x640,13,73.8,11.0,73.8,198.1
60,384x640,13,45.4,5.0,45.4,73.6
61,384x640,13,57.2,6.1,57.2,15.2
62,384x640,13,143.8,4.3,143.8,65.7
63,384x640,13,64.3,3.7,64.3,22.5
64,384x640,13,58.8,4.3,58.8,27.0
65,384x640,13,61.8,5.6,61.8,25.2
66,384x640,13,63.6,6.9,63.6,13.3
67,384x640,13,88.2,5.7,88.2,55.4
68,384x640,13,55.7,4.1,55.7,185.0
69,384x640,13,63.9,4.5,63.9,16.9
70,384x640,13,66.5,8.8,66.5,246.7
71,384x640,13,51.4,4.5,51.4,72.4
72,384x640,13,57.8,4.8,57.8,11.5
73,384x640,13,68.3,25.2,68.3,96.8
74,384x640,13,51.9,3.9,51.9,199.1
75,384x640,13,42.7,3.5,42.7,14.9
76,384x640,13,56.5,4.9,56.5,33.4
77,384x640,13,99.7,6.0,99.7,14.0
78,384x640,13,63.8,15.4,63.8,18.1
79,384x640,13,71.3,7.3,71.3,223.8
80,384x640,13,59.9,4.5,59.9,166.5
81,384x640,13,56.0,4.7,56.0,184.8
82,384x640,13,56.3,4.1,56.3,13.5
83,384x640,13,66.2,6.2,66.2,208.2
84,384x640,13,44.3,4.3,44.3,227.9
85,384x640,13,54.9,5.0,54.9,150.1
86,384x640,13,57.1,3.6,57.1,162.2
87,384x640,13,52.5,4.5,52.5,177.4
88,384x640,13,52.6,3.6,52.6,17.9
89,384x640,13,62.8,4.4,62.8,175.2
90,384x640,13,50.0,5.1,50.0,173.5
91,384x640,13,55.1,4.7,55.1,74.8
92,384x640,13,59.0,5.6,59.0,13.3
93,384x640,13,69.5,9.2,69.5,261.3
94,384x640,13,45.7,3.6,45.7,14.1
95,384x640,13,53.4,4.6,53.4,14.3
96,384x640,13,83.2,8.5,83.2,18.9
97,384x640,13,63.9,5.4,63.9,15.2
98,384x640,13,68.5,6.0,68.5,195.1
99,384x640,13,59.0,3.9,59.0,12.6
100,384x640,14,64.3,9.5,64.3,234.3
1,384x640,9,47.0,27.0,47.0,24.2
2,384x640,9,55.9,4.1,55.9,34.8
3,384x640,9,47.9,3.0,47.9,98.0
4,384x640,9,47.9,4.0,47.9,78.1
5,384x640,9,55.2,4.2,55.2,80.2
6,384x640,9,47.8,3.6,47.8,83.4
7,384x640,9,54.1,4.0,54.1,12.0
8,384x640,9,43.2,2.6,43.2,8.5
9,384x640,9,42.3,3.2,42.3,94.3
10,384x640,9,52.8,3.2,52.8,91.1
11,384x640,9,64.7,4.2,64.7,94.4
12,384x640,10,48.8,3.8,48.8,80.2
13,384x640,10,48.5,2.7,48.5,78.9
14,384x640,10,49.3,4.5,49.3,40.2
15,384x640,11,49.8,4.4,49.8,13.5
16,384x640,12,46.8,2.8,46.8,8.7
17,384x640,12,51.5,2.8,51.5,88.2
18,384x640,12,45.7,3.9,45.7,8.4
19,384x640,12,43.1,2.9,43.1,77.4
20,384x640,12,49.5,2.9,49.5,82.5
21,384x640,12,53.3,3.6,53.3,76.2
22,384x640,12,49.3,3.1,49.3,97.3
23,384x640,12,50.7,3.2,50.7,74.6
24,384x640,12,49.7,3.1,49.7,35.3
25,384x640,12,43.5,4.2,43.5,82.7
26,384x640,12,49.9,3.0,49.9,74.1
27,384x640,12,49.5,3.3,49.5,72.7
28,384x640,12,49.8,5.4,49.8,90.0
29,384x640,12,49.7,5.1,49.7,100.6
30,384x640,12,51.6,3.6,51.6,11.8
31,384x640,12,52.9,3.5,52.9,11.1
32,384x640,12,51.9,3.0,51.9,104.1
33,384x640,12,47.9,3.4,47.9,110.5
34,384x640,12,48.3,3.4,48.3,21.2
35,384x640,12,49.0,2.9,49.0,10.3
36,384x640,12,45.6,2.7,45.6,109.9
37,384x640,12,51.5,5.7,51.5,116.0
38,384x640,12,49.9,3.1,49.9,22.2
39,384x640,12,48.9,2.9,48.9,9.8
40,384x640,12,74.9,6.2,74.9,38.2
41,384x640,12,73.2,7.0,73.2,58.2
42,384x640,12,274.6,67.7,274.6,170.6
43,384x640,12,67.7,5.2,67.7,24.6
44,384x640,12,66.7,3.3,66.7,22.2
45,384x640,12,106.9,6.6,106.9,51.0
46,384x640,12,54.2,4.7,54.2,223.2
47,384x640,12,62.9,4.3,62.9,27.1
48,384x640,12,92.8,21.8,92.8,19.4
49,384x640,12,86.4,18.8,86.4,190.1
50,384x640,12,55.5,3.8,55.5,76.8
51,384x640,12,59.9,3.9,59.9,216.8
52,384x640,12,54.5,4.3,54.5,25.1
53,384x640,12,81.4,7.5,81.4,202.0
54,384x640,13,61.4,4.9,61.4,13.4
55,384x640,13,68.6,3.9,68.6,15.1
56,384x640,13,70.0,6.0,70.0,23.2
57,384x640,13,71.2,9.2,71.2,15.9
58,384x640,13,73.9,5.8,73.9,15.8
59,384x640,13,65.3,5.0,65.3,184.6
60,384x640,13,49.4,4.7,49.4,64.5
61,384x640,13,62.2,4.6,62.2,13.5
62,384x640,13,65.1,18.1,65.1,35.4
63,384x640,13,56.2,4.2,56.2,31.4
64,384x640,13,56.7,7.6,56.7,29.6
65,384x640,13,69.8,7.9,69.8,16.3
66,384x640,13,70.0,4.3,70.0,11.3
67,384x640,13,65.7,5.4,65.7,45.5
68,384x640,13,64.1,4.2,64.1,202.4
69,384x640,13,61.1,3.7,61.1,17.8
70,384x640,13,75.7,6.5,75.7,232.6
71,384x640,13,53.4,3.2,53.4,61.0
72,384x640,13,62.2,5.0,62.2,12.5
73,384x640,13,79.5,9.0,79.5,95.8
74,384x640,13,54.7,4.7,54.7,311.1
75,384x640,13,302.5,6.6,302.5,37.5
76,384x640,13,69.2,9.5,69.2,112.2
77,384x640,13,118.5,5.6,118.5,22.9
78,384x640,13,73.3,8.3,73.3,124.6
79,384x640,13,98.2,10.8,98.2,315.1
80,384x640,13,106.9,9.4,106.9,406.7
81,384x640,13,74.4,8.2,74.4,260.3
82,384x640,13,75.6,7.4,75.6,23.1
83,384x640,13,92.4,12.3,92.4,262.2
84,384x640,13,80.7,5.2,80.7,308.9
85,384x640,13,67.8,4.5,67.8,272.6
86,384x640,13,90.2,5.7,90.2,263.9
87,384x640,13,64.6,5.7,64.6,417.8
88,384x640,13,83.5,5.9,83.5,37.3
89,384x640,13,95.1,6.4,95.1,284.4
90,384x640,13,71.1,4.7,71.1,253.1
91,384x640,13,134.8,9.1,134.8,177.0
92,384x640,13,64.1,6.2,64.1,17.3
93,384x640,13,119.3,10.8,119.3,268.4
94,384x640,13,61.8,4.7,61.8,26.1
95,384x640,13,104.7,14.2,104.7,22.1
96,384x640,13,96.6,6.4,96.6,19.1
97,384x640,13,97.0,6.8,97.0,20.4
98,384x640,13,102.8,50.5,102.8,283.1
99,384x640,13,63.4,5.7,63.4,14.0
100,384x640,14,84.3,5.6,84.3,226.6
1,384x640,9,44.7,29.1,44.7,13.3
2,384x640,9,62.8,5.2,62.8,43.5
3,384x640,9,53.6,4.1,53.6,110.5
4,384x640,9,66.5,6.5,66.5,113.7
5,384x640,9,47.2,3.3,47.2,84.3
6,384x640,9,49.4,7.9,49.4,81.4
7,384x640,9,52.8,2.9,52.8,11.9
8,384x640,9,68.3,2.7,68.3,14.3
9,384x640,9,46.3,4.5,46.3,82.3
10,384x640,9,46.3,2.8,46.3,76.4
11,384x640,9,47.4,3.8,47.4,76.7
12,384x640,10,57.4,5.3,57.4,98.4
13,384x640,10,51.9,3.6,51.9,78.4
14,384x640,10,47.9,3.2,47.9,36.2
15,384x640,11,60.0,2.7,60.0,7.3
16,384x640,12,50.0,2.7,50.0,12.5
17,384x640,12,51.9,3.3,51.9,86.0
18,384x640,12,54.2,3.7,54.2,13.8
19,384x640,12,42.9,3.2,42.9,108.8
20,384x640,12,51.1,3.5,51.1,106.2
21,384x640,12,48.3,5.3,48.3,87.7
22,384x640,12,45.3,4.0,45.3,106.7
23,384x640,12,53.8,3.5,53.8,92.1
24,384x640,12,56.7,4.7,56.7,92.9
25,384x640,12,84.8,7.5,84.8,158.9
26,384x640,12,89.2,6.6,89.2,216.3
27,384x640,12,100.4,6.8,100.4,217.3
28,384x640,12,65.7,4.0,65.7,263.9
29,384x640,12,62.6,5.4,62.6,227.4
30,384x640,12,63.4,12.7,63.4,20.8
31,384x640,12,92.5,14.7,92.5,18.5
32,384x640,12,98.6,5.9,98.6,194.0
33,384x640,12,51.8,5.1,51.8,177.0
34,384x640,12,55.8,3.2,55.8,28.0
35,384x640,12,182.6,5.2,182.6,43.2
36,384x640,12,112.0,15.3,112.0,207.3
37,384x640,12,54.0,3.6,54.0,182.6
38,384x640,12,62.2,4.1,62.2,28.5
39,384x640,12,71.3,5.8,71.3,49.5
40,384x640,12,62.8,5.1,62.8,30.9
41,384x640,12,49.0,4.1,49.0,27.1
42,384x640,12,54.0,3.7,54.0,173.5
43,384x640,12,53.9,4.1,53.9,21.4
44,384x640,12,59.3,4.5,59.3,12.8
45,384x640,12,70.5,5.3,70.5,19.1
46,384x640,12,83.5,10.0,83.5,342.0
47,384x640,12,83.2,4.4,83.2,30.9
48,384x640,12,63.8,4.8,63.8,20.4
49,384x640,12,68.6,8.1,68.6,303.6
50,384x640,12,59.3,5.8,59.3,91.8
51,384x640,12,62.9,5.9,62.9,181.8
52,384x640,12,51.5,3.3,51.5,24.5
53,384x640,12,78.1,4.2,78.1,299.6
54,384x640,13,58.8,4.3,58.8,39.2
55,384x640,13,82.0,6.1,82.0,17.6
56,384x640,13,61.1,5.3,61.1,25.1
57,384x640,13,63.4,4.4,63.4,19.8
58,384x640,13,57.7,5.3,57.7,22.1
59,384x640,13,42.7,4.0,42.7,199.7
60,384x640,13,45.3,3.2,45.3,65.8
61,384x640,13,64.5,6.7,64.5,21.6
62,384x640,13,60.2,3.8,60.2,26.8
63,384x640,13,75.6,6.3,75.6,87.9
64,384x640,13,83.3,10.7,83.3,38.6
65,384x640,13,60.3,3.3,60.3,15.4
66,384x640,13,84.8,13.1,84.8,12.4
67,384x640,13,59.0,6.6,59.0,45.0
68,384x640,13,75.7,6.5,75.7,190.9
69,384x640,13,59.0,4.5,59.0,13.9
70,384x640,13,66.3,17.9,66.3,262.5
71,384x640,13,50.0,3.6,50.0,82.0
72,384x640,13,69.4,8.5,69.4,17.3
73,384x640,13,73.1,5.2,73.1,111.4
74,384x640,13,70.4,5.4,70.4,231.7
75,384x640,13,52.3,3.1,52.3,11.4
76,384x640,13,62.8,4.0,62.8,35.4
77,384x640,13,70.8,6.6,70.8,19.1
78,384x640,13,57.4,6.6,57.4,19.5
79,384x640,13,54.0,5.2,54.0,200.3
80,384x640,13,59.0,4.1,59.0,206.7
81,384x640,13,54.8,5.4,54.8,175.2
82,384x640,13,52.1,3.8,52.1,13.6
83,384x640,13,145.6,6.2,145.6,184.5
84,384x640,13,53.0,4.3,53.0,341.8
85,384x640,13,50.1,3.3,50.1,190.7
86,384x640,13,46.9,3.4,46.9,161.2
87,384x640,13,58.2,3.9,58.2,179.1
88,384x640,13,58.0,4.9,58.0,17.1
89,384x640,13,73.5,9.1,73.5,230.4
90,384x640,13,41.2,3.0,41.2,167.6
91,384x640,13,58.2,4.2,58.2,79.0
92,384x640,13,57.7,4.9,57.7,11.9
93,384x640,13,67.1,10.2,67.1,239.6
94,384x640,13,52.9,5.7,52.9,15.4
95,384x640,13,66.5,9.3,66.5,15.1
96,384x640,13,124.7,5.1,124.7,67.5
97,384x640,13,209.4,8.1,209.4,28.9
98,384x640,13,51.4,4.1,51.4,418.5
99,384x640,13,216.5,40.3,216.5,71.9
100,384x640,14,55.5,4.3,55.5,297.4
